barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height (HAUTEUR),width (PROFONDEUR),length (LARGEUR),weight (POIDS),price,Prix final,deal,pre-order,position,import,,,,,
10923451124,10923451124,,,Tete de ufle,Head cow plain,"Tete de bufle en os veritable et cornes sculpees profnon, indonesie",,1,vintage,decorations,6,27,16,2,270,,,no,,yes,,,,,
10923450469,10923451124,,,Tabouret en bois de bateu recycle,Scrap High stool,3 tailles disponibles,,1,industrialboat,stools,25,12,15,4,112,,,no,,yes,,,,,
10923451124,10923451124,,,Tabouret acier en bois de tech recycle et fonte.,Cast stool,Ajustable au moyen d'une manivelle. Base en fonte,,,vintage,stools,23 (29),13,13,12,249,,,no,,yes,,,,,
10923451162,10923451162,,,Pot en bois tourne,Himachal Pot,Viens en trois tailles.Provient de l'inde (piece antique),,,,storage,12,8,8,,96,,,,,yes,,,,,
10923451153,10923451153,,,,Tolix Chair,,,,,stools,,,,,160,,,,,no,,,,,
10923450450,10923450450,,,Ensemble de 3 caisses,Set of 3 planter Crat,Bois de bateau recycle,,,,storagebox,10.5,10-13-16,10-13-16,,200,,,,,yes,,,,,
10923450450,10923450450,,,,SS Light,Lampe de bateau antique recyclee,,,,tablelamps,7,7,11,3,96,,,,,yes,,,,,
1123450392,1123450392,,,Commode a 3 triroirs en bois de rode,Carving 3 drw. Cabinet,Legere sculpture profonde - inde,,,,cabinet,31.5,18.5,33.5,,1432,,,,,yes,,,,,
1123450392,1123450392,,,Chaise cire et metal de style vintage,leather chair,,,,,chairs,31,19,19,,264,,,,,no,,,,,
1123450392,1123450392,,,Voiture en bois (biblot),Vintage car,"Vintage, bois recycle, viens de l'inde",,,,decorations,4,4,14,,41,,,,,yes,,,,,
1123450392,1123450392,,,,WD Admirah usual,,,,,frames,,,,,2024,,,,,yes,,,,,
1123450392,1123450392,,,,Mirror 60 po x 55 po x 3 po,Miroir en bois de bateau recycle (3 tailles),,,,mirrors,3,55,60,,132,,,,,yes,,,,,
1123450392,1123450392,,,Table de nuit,WD 6 Drawer A4 Size C,"Bois de bateau recycle, 3 tailles - indes (3-4-6) tiroirs",,,,bedsidetables,28,14,11,,240,,,,,,,,,,
1123450392,1123450392,,,Caisses - enseble de 3,WD Vegetable tray,Bois de bateau recycle indes,,,,storagebox,,,,,112,,,,,yes,,,,,
1123450392,1123450392,,,Demi lubne vitrail vintabe,Panel Half Round,Piece antique recyclee,,,,decorations,2.5,25,48,,328,,,,,,,,,,
1123450392,1123450392,,,,Panel 4 big Windows,,,,,,,,,,528,,,,,yes,,,,,
1123450392,1123450392,,,,Hublot,Hiblot en aluminium et vitre poly-trempee etanche recupere de bateaux et sous marins (format rond),,,,decorations,5,19,25,,320,,,,,yes,,,,,
10923450441,,,,,3 hook hanger,,,,,,,,,,40,,,,,no,,,,,
1123450412,,,,,Plasma with door,,,,,,51,16,19,,1280,,,,,no,,,,,
1123450392,1123450392,,,Crane de bufle,Buffalo plain,Crane de bufle et tete de vache,,,,,10,19,29,,460,,,,,yes,,,,,
1123450392,1123450392,,,,,,,,,,,,,,1085,,,,,,,,,,
1123450392,1123450392,,,,75 x 40 x3,,,,,,,,,,1664,,,,,,,,,,
1123450389,1123450389,,,,Mirror Frame,Bois de rose avec legere sculpture (bordure de 4 pouces),,,,mirrors,36,1,24,10 kg,632,,,,,yes,,,,,
K3-048/H6478-Q,K3-048/H6478-Q,,,Tete de cheval antique,Head,"Antique en bois de tetck, viens des indes",,,,statue,,,,,104,,,,,yes,,,,,
10923450218,,,,,TV Cabinet 130 x 45 x 60,,,,,,60,45,130,,1200,,,,,,,,,,
1123450411,,,,,Plasma with door,,,,,,,,,,2368,,,,,,,,,,
1123450386,,,,,TV console,,,,,,25,16,55,,1680,,,,,yes,,,,,
1123450213,,,,Banc industriel,Wood and iron Industrial bench,"Bois industriel en bois d'acacia et metal brut rough, 4 tailles",,,,benches,18,16,55,,520,,,,,yes,,,,,
1123450225,,,,,Bench folding legs,,,,,,,,,,400,,,,,,,,,,
10923451346,,,,,WDN. Side Board 114 x 45,,,,,,42,17.5,47,,1088,,,,,,,,,,
1123450279,,,,,Freeform dining table,,,,,,,,,,2600,,,,,yes,,,,,
10933451170,,,,,Iron Bucket,,,,,,,,,,17.99,,,,,,,,,,
10923451128,,,,,Marble sink,,,,,sink,6,16,16,18,475,,,,,yes,,,,,
10923450195,,,,,Stool 36 x 36 x 45,,,,,stools,45,36,36,,144,,,,,yes,,,,,
10923451480,,,,,Stool 40 x 40 x 52,,,,,,52,40,40,,216,,,,,,,,,,
10923451430,,,,,Wall curtain 110 x 230,,,,,,230,110,,,144,,,,,,,,,,
10923451391,,,,,Poulie,,,,,hooks,6,3,17,,96,,,,,yes,,,,,
10923451381,,,,,Wood Almirah usual,,,,,,,,,,2024,,,,,,,,,,
10923451003,,,,,Lanterne,,,,,tablelamps,21,12,12,,450,,,,,yes,,,,,
10923450431,,,,,Drawer ,,,,,,,,,,240,,,,,,,,,,
EW1663,,,,,Wood TV Cabinet 2 doors,,,,,,,,,,1080,,,,,,,,,,
12045*85,,,,,Medium sideboard,,,,,,,,,,1576,,,,,,,,,,
10923450231,,,,,Stool 60 x 60 x 79,,,,,,60,60,79,,288,,,,,,,,,,
11234500356,,,,,Sink,,,,,,,,,,225,,,,,,,,,,
10923451369,,,,,Box 87 x 35 x 40,,,,,,40,35,87,,320,,,,,,,,,,
10923451130,,,,,Root Table + glass,,,,,,30,70,70,,2600,,,,,yes,,,,,
10923451359,,,,,Box 48 x 18 x 18,,,,,,18,18,48,,,,,,,yes,,,,,
1123450392,,,,,Carving 3 drw. Cabinet,,,,,,,,,,1432,,,,,,,,,,
K3-011,,,,Armoire bleue,,,,,,,40,11.5,24.5,,560,,,,,yes,,,,,
1123450213,,,,,Wood iron industrial bench,,,,,,,,,,520,,,,,,,,,,
1123450225,,,,,Bench folding legs,,,,,,,,,,400,,,,,,,,,,
1123450406,,,,,Zigzag Cabinet,,,,,,59.5,12,12.5,,712,,,,,yes,,,,,
NK-072,,,,,Buffet,,,,,,,,,,1040,,,,,,,,,,
1123450230,,,,,Bar stool,,,,,,29,12,15,,144,,,,,,,,,,
10923451179,,,,,Cast stool,,,,,,20,15.5,15.5,,249,,,,,,,,,,
10923451346,,,,,Wood side board 114 x 45,,,,,,,45,114,,1088,,,,,,,,,,
IN-8-35*35*150,,,,,Book shelf,,,,,,,,,,796,,,,,,,,,,
10923451163,,,,,Spices box,,,,,,7,3,11,,64,,,,,yes,,,,,
1123450235,,,,,3 Front Strip,,,,,,9,9,14,,56,,,,,yes,,,,,
1123450230,,,,,Bar stool,,,,,,,,,,144,,,,,,,,,,
10923450469,,,,,Bar stool,,,,,,,,,,112,,,,,,,,,,
10923450468,,,,,Bar stool,,,,,,,,,,96,,,,,,,,,,
10933451170,,,,,Iron Bucket,,,,,,9.5,9.5,9.5,,17.99,,,,,yes,,,,,
10923450463,,,,,Wooden Frame,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
11234050230,,,,,,,,,,,29,15,15,4,,,,,3 hauteurs,yes,,,,,
,,,,,,,,,,,,12,,,,,,,,,,,,,
TBL-SML,,,,,,,,,,,21,12,27,4,326,,,,jusqua 46 pouces,,,,,,
1123450341,,,,,TORSO PENDET STAND,,,,,,16,5,5,3,80,,,,,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,40,32,13,7,,,,,,,,,,,
H-6479-W66C,,,,,,Tara free form bench - acacia india pietements en bois ,,,,,18,16,66 et 78,,,,,,,yes,Clair,,W78C,W78 LC,Largeur
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1123450189,,,,,IRON TABLE WITH WOOD TOP,,,,,,,,,,1090,,,,,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10923451167,,,,,WOOD FLOORING 100*100,,,,,,,,,,288,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1123450389,,,,,Mirrior Frame with Mirroir,,,,,,,,,,632,,,,,,,,,,
1123450174,,,,,Mirrior Frame with Mirroir,bordure de 6 pouces,,,,,36,1,24,11.2 kg,415,,,,,yes,,,,,
10923450474,,,,,TEAK WOOD STOOL,,,,,,,15,15,,300,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10923451159,,,,,MIROR FRAME 80,,,,,,,,,,256,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10923451341,,,,,WDN. FRAME90x5x120,,,,,,,,,,720,,,,,,,,,,
