barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,dimensions,import
10923451460,10923451460,IMG_10923451460.jpg,IMG_10923451460.jpg,Sac de matériel recyclé M4737,,Sac fourre tout vintage en matériel recyclé et cuir,,5,vintage,accessories,13,10,6,1,48,,50,no,,IN,yes
10923451426,10923451426,IMG_10923451426.jpg,IMG_10923451426.jpg,Sac de matériel recyclé M2255,,Sac fourre tout vintage en matériel recyclé et cuir,,5,vintage,accessories,14,16,4,1,88,,50,no,,IN,yes
10923451421,10923451421,IMG_10923451421.jpg,IMG_10923451421.jpg,Coussin de tissu et cuir M101A,,Coussin de tissu et cuir,,5,vintage,cussions,18,18,4,1,44,,50,no,,IN,yes
10923451425,10923451425,IMG_10923451425.jpg,IMG_10923451425.jpg,Sac de plage tissu et cuir M2026,,Sac de plage  vintage en matériel recyclé et cuir,,5,vintage,accessories,16,14,6,1,88,,50,no,,IN,yes
10923451407,10923451407,IMG_10923451407.jpg,IMG_10923451407.jpg,Oreiller de tissu recyclé M1251B,,Oreiller de tissu recyclé vintage,,5,vintage,cussions,16,16,4,1,44,,50,no,,IN,yes
10923451434,10923451434,IMG_10923451434.jpg,IMG_10923451434.jpg,Coussin de tissu M3092,,Coussin de tissu recyclé,,5,vintage,cussions,15,15,4,1,44,,50,no,,IN,yes
10923451461,10923451461,IMG_10923451461.jpg,IMG_10923451461.jpg,Sac de plage en tissu recyclé,,Sace de plage vintage en tissu recyclé,,5,vintage,accessories,16,20,2,1,80,,50,no,,IN,yes
10923450213,10923450213,IMG_10923450213.jpg,IMG_10923450213.jpg,Coussin vintage cuir et tissu,,Coussin vintage cuir et tissu recyclés,,5,vintage,cussions,14,22,3,2,64,,50,no,,IN,yes
10923451462,10923451462,IMG_10923451462.jpg,IMG_10923451462.jpg,Sac de plage en tissu recyclé M4858,,Sac de plage vintage en tissu recyclé M4858,,5,vintage,accessories,16,20,3,1,80,,50,no,,IN,yes
10923450220,10923450220,IMG_10923450220.jpg,IMG_10923450220.jpg,Étui pour IPAD en tissu recyclé,,Étui vintage pour IPAD en tissu recyclé,,5,vintage,accessories,9,12,1,1,32,,50,no,,IN,yes
10923450200,10923450200,IMG_10923450200.jpg,IMG_10923450200.jpg,Étui pour IPAD en tissu recyclé M1428,,Étui vintage pour IPAD en tissu recyclé,,5,vintage,accessories,9,12,1,1,32,,50,no,,IN,yes
10923451431,10923451431,IMG_10923451431.jpg,IMG_10923451431.jpg,Rideau tissu recyclé avec motif,,Rideau tissu recyclé vintage avec motif,,5,vintage,accessories,85,55,1,2,112,,50,no,,IN,yes
10923451430,10923451430,IMG_10923451430.jpg,IMG_10923451430.jpg,Rideau tissu recyclé avec motif M2434,,Rideau tissu recyclé vintage avec motif,,5,vintage,accessories,85,42,1,3,144,,50,no,,IN,yes
10923451465,10923451465,IMG_10923451465.jpg,IMG_10923451465.jpg,Oreiller de tissu recyclé M4937,,Oreiller vintage de tissu recyclé M4937,,5,vintage,cussions,15,23,2,2,56,,50,no,,in,yes
10923450202,10923450202,IMG_10923450202.jpg,IMG_10923450202.jpg,Oreiller de tissu recyclé M14632,,Oreiller vintage de tissu recyclé M14632,,5,vintage,cussions,15,23,2,2,64,,50,no,,IN,yes
10923451441,10923451441,IMG_10923451441.jpg,IMG_10923451441.jpg,Coussin de tissu recyclé M3304,,Coussin vintage de tissu recyclé M3304,,5,vintage,cussions,16,16,2,1,44,,50,no,,IN,yes
10923451446,10923451446,IMG_10923451446.jpg,IMG_10923451446.jpg,Coussin de tissu recyclé M3859,,Coussin vintage de tissu recyclé M3859,,5,vintage,cussions,16,16,1,1,40,,50,no,,IN,yes
10923451417,10923451417,IMG_10923451417.jpg,IMG_10923451417.jpg,Coussin de tissu recyclé M1774,,Coussin de tissu recyclé M1774,,5,vintage,cussions,18,18,1,1,44,,50,no,,IN,yes
10923451415,10923451415,IMG_10923451415.jpg,IMG_10923451415.jpg,Sac de matériel recyclé M1648,,Sac vintage de matériel recyclé M1648,,5,vintage,accessories,14,19,4,1,64,,50,no,,IN,yes
10923450225,10923450225,IMG_10923450225.jpg,IMG_10923450225.jpg,Sac de matériel recyclé M598,,Sac vintage de matériel recyclé M598,,5,vintage,accessories,16,16,3,1,48,,50,no,,IN,yes
10923241410,10923241410,IMG_10923241410.jpg,IMG_10923241410.jpg,Sac de matériel recyclé M1487,,Sac vintage de matériel recyclé M1487,,5,vintage,accessories,16,17,3,1,56,,50,no,,IN,yes
10923451457,10923451457,IMG_10923451457.jpg,IMG_10923451457.jpg,Sac de matériel recyclé M4609,,Sac vintage de matériel recyclé M4609,,5,vintage,accessories,12,18,3,1,80,,50,no,,IN,yes
10923450205,10923450205,IMG_10923450205.jpg,IMG_10923450205.jpg,Sac de matériel recyclé M1571,,Sac de matériel recyclé M1571,,5,vintage,accessories,13,20,6,1,64,,50,no,,IN,yes
10923451476,10923451476,IMG_10923451476.jpg,IMG_10923451476.jpg,Sac de matériel recyclé M5589,,Sac de matériel recyclé M5589,,5,vintage,accessories,13,19,6,1,64,,50,no,,IN,yes
10923451457,10923451457,IMG_10923451457.jpg,IMG_10923451457.jpg,Sac de matériel recyclé M4609,,Sac de matériel recyclé M4609,,5,vintage,accessories,12,18,9,1,80,,50,no,,IN,yes
