code,name_en,name_fr,title_en,title_fr,friendlyUrl_en,friendlyUrl_fr,highlights_en,highlights_fr,position,visible,parent
livingroom,Living room,Salon,Living room,Salon,living-room,salon,,,200,1,
cabinet,Cabinets,Armoires,Cabinets,Armoires,cabinets,armoires-de-salon,,,210,1,livingroom
lrconsole,Console tables,Consoles,Console tables,Consoles,living-room-consoles,consoles-de-salon,,,220,1,livingroom
sofas,Sofas,Sofas,Sofas,Sofas,sofas,sofas,,,230,1,livingroom
storage,Storage,Étagères,Storage,Étagères,storage,etageres,,,240,1,livingroom
mediaunits,Media units,Meubles pour télévision,Media units,Meubles pour télévision,media-units,meubles-pour-television,,,250,1,livingroom
roomdividers,Room dividers,Paravents,Room dividers,Paravents,room-dividers,paravents,,,260,1,livingroom
ottomans,Ottomans,Poufs,Ottomans,Poufs,ottomans,poufs,,,270,1,livingroom
coffetables,Coffee tables,Tables à café,Coffee tables,Tables à café,coffee-tables,coffee-tables,,,280,1,livingroom
livingroomtables,Living room tables,Tables de salon,Living room tables,Tables de salon,living-room-tables,tables-de-salon,,,290,1,livingroom
,,,,,,,,,,,
,,,,,,,,,,,
dining,Dining room,Salle à manger,Dining room,Salle à manger,dining-room,salle-a-manger,,,5,1,
diningcabinet,Dining cabinet,Armoires,Dining cabinet,Armoires,dining-cabinet,armoires,,,50,1,dining
buffets,Buffets,Buffets,Buffets,Buffets,buffets,buffets,,,55,1,dining
benches,Benches,Bancs,Benches,Bancs,benches,bancs,,,60,1,dining
chairs,Chairs,Chaises,Chairs,Chaises,chairs,chaises,,,70,1,dining
consoletables,Console tables,Consoles,Console tables,Consoles,consoles-tables,consoles,,,80,1,dining
tables,Tables,Tables,Tables,Tables,tables,tables,,,90,1,dining
stools,Stools,Tabourets,Stools,Tabourets,stools,tabourets,,,100,1,dining
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
bedroom,Bedroom,Chambre,Bedroom,Chambre,bedroom,chambre,,,400,1,
wardrobe,Armoires,Armoires,Armoires,Armoires,bedroom-armoires,armoires-chambre,,,410,1,bedroom
storagebox,Storage box,Coffres de rangement,Storage box,Coffre de rangement,storage-box,coffre-rangement,,,420,1,bedroom
brroomdividers,Room dividers,Paravents,Room dividers,Paravents,bedroom-room-dividers,paravents-chambre,,,430,1,bedroom
brottomans,Ottomans,Poufs,Ottomans,Poufs,bedroom-ottomans,poufs-chambre,,,440,1,bedroom
bedsidetables,Bedside tables,Tables de chevet,Bedside tables,Tables de chevet,bedside-tables,tables-de-chevet,,,450,1,bedroom
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
decoration,Decorations,Décorations,Decorations,Décorations,decorations,decorations,,,600,1,livingroom
dcorativeboxes,Decorative boxes,Boîtes décoratives,Decorative boxes,Boîtes décoratives,decorative-boxes,boites-decoratives,,,610,1,decoration
frames,Wooden frames,Cadres en bois,Wooden frames,Cadres en bois,wooden-frames,cadres-en-bois,,,620,1,decoration
dcstorageboxes,Storage boxes,Boîtes de rangement,Storage boxes,Boîtes de rangement,bedroom-storage-boxes,boite-rangement,,,630,1,decoration
cussions,Cussions,Coussins,Cussions,Coussins,cussions,cussions,,,640,1,decoration
wallhooks,Wall hooks,Crochets muraux,Wall hooks,Crochets mureaux,wall-hooks,crochets-muraux,,,650,1,decoration
figures,Figures,Figurines,Figures,Figurines,figures,figurines,,,660,1,decoration
clocks,Clocks,Horloges,Clocks,Horloges,clocks,horloges,,,670,1,decoration
mirrors,Mirrors,Miroirs,Mirrors,Miroirs,mirrors,miroirs,,,680,1,decoration
choppingboard,Chopping board,Planche à découper,Chopping board,Planches à découper,chopping-board,planche-a-decouper,,,690,1,decoration
board,Board,Plateau,Board,Plateau,board,plateau,,,700,1,decoration
statue,Statue,Statue,Statue,Statue,statue,statue,,,710,1,decoration
accessories,Accessories,Accessoires,Accessories,Accessoires,accessoires,accessoires,,,720,1,decoration
,,,,,,,,,,,
,,,,,,,,,,,
lighting,Lighting,Éclairage,Lighting,Éclairage,lighting,eclairage,,,601,1,
floorlamps,Floor lamps,Lampes sur pied,Floor lamps,Lampes sur pied,floor-lamps,lampes-sur-pied,,,602,1,lighting
tablelamps,Table lamps,Lampes de tables,Table lamps,Lampes de tables,table-lamps,lampes-de-table,,,603,1,lighting
pendants,Pendants,Luminaires,Pendants,Luminaires,pendant,luninaires,,,604,1,lighting
,,,,,,,,,,,
,,,,,,,,,,,
office,Office,Bureau,Office,Bureau,office-furniture,mobilier-de-bureau,,,1200,1,livingroom
officestorage,Library,Bibliothèque,Library,Bibliothèque,library,bibliotheque,,,1210,1,office
officetables,Office tables,Bureau de travail,Office tables,Bureau de travail,office-table,bureau-de-travail,,,1220,1,office
shelves,Shelves,Étagères,Shelves,Étagères,shelves,etageres,,,1230,1,office
filingcabinet,Filing cabinet,Classeurs,Filing cabinet,Classeurs,filing-cabinet,classeurs,,,1240,1,office
officechairs,Office chairs,Chaises de bureau,Office chairs,Chaises de bureau,office-chairs,chaises-de-bureau,,,1250,1,office
,,,,,,,,,,,
bags,Bags,Sacs,Bags,Sacs,bags,bags,,,1510,1,accessories
