code,name_en
2379,2379
560,560
995,995
899,899
854,854
7,7
2001,2001
4168,4168
881,881
882,882
884,884
1134,1134
1037,1037
958,958
39,39
898,898
880,880
2004,2004
885,885
3569,3569
947,947
333,333
3345,3345
3345-II,3345-II
3346,3346
40,40
8457,8457
8547,8547
214,214
501,501
5166,5166
3118,3118
853,853
2003,2003
532,532
55,55
391,391
338,338
6027,6027
1050,1050
393,393
998,998
441,441
6026,6026
855,855
222,222
29,29
1587,1587
30018,30018
501N,501N
40-II,40-II
3346-II,3346-II
