barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,dimensions,position,import,,,,,,
10923451124,10923451124,,Meubles141.jpg,Tête de buffle,Head cow plain,"Tete de bufle en os veritable et cornes sculpees profnon, indonesie",,1,vintage,decoration,6,27,16,2,270,,,no,IN,,no,,,,,,
10923450469,10923451124,,Meubles51.jpg,Tabouret en bois de bateu recyclé,Scrap High stool,3 tailles disponibles,,1,recycledboat,stools,25,12,15,4,112,,,no,IN,,no,,,,,,
10923451179,10923451179,,Meubles43.jpg,Tabouret acier et bois de tech recyclé,Cast stool,Tabouret en fonte et bois tech recyclé. Ajustable au moyen d'une manivelle. La hauteur est ajustable de 23 à 29 pouces.,,1,vintage,stools,23,13,13,12,249,,,no,IN,,no,,,,,,
10923451162,10923451162,,Meubles118.jpg,Pot en bois tourné,Himachal Pot,Pot en bois. Importation de l'inde,,1,antique,storage,12,8,8,1,96,,,,IN,,no,,,,,,
10923451153,10923451153,,,,Tolix Chair,,,,,stools,,,,,160,,,,IN,,no,,,,,,
10923450450,10923450450,,Meubles95.jpg,Ensemble de 3 caisses,Set of 3 planter Crat,"Boîtes en bois de bateau recyclé. Contient 2 boîtes de 10, 13 et 16 pouces de largeur.",,1,recycledboat,storagebox,10,16,16,30,200,,,,IN,,no,,,,,,
10923451387,10923451387,,Meubles103.jpg,Lampe de bateau authentique,SS Light,Lampe de bateau antique recyclée,,1,vintage,tablelamps,7,7,11,3,96,,,,IN,,no,,,,,,
1123450392,1123450392,,Meubles32.jpg,Commode 3 triroirs en bois de rose,Carving 3 drw. Cabinet,Commode 3 triroirs en bois de rose. Légère sculpture profonde. Importation de l'Inde,,1,rosewood,cabinet,32,34,19,75,1432,,,,IN,,no,,,,,,
M-5518,M-5518,,Meubles40.jpg,Chaise cuire et métal,leather chair,Chaise de cuire et métal de style vintage,,0,vintage,chairs,31,19,19,5,264,,,,IN,,no,,,,,,
10923451561,10923451561,,Meubles106.jpg,Voiture en bois,Vintage car,Biblot de voiture de bois recyclé de style vintage.Importation de l'Inde,,1,vintage,decoration,4,14,4,1,41,,,,IN,,no,,,,,,
1123450392,1123450392,,,,WD Admirah usual,,,1,,frames,,,,,2024,,,,IN,,no,,,,,,
1123450382,1123450382,,Meubles61.jpg,Miroir bois de bateau recyclé,Mirror 60 po x 55 po x 3 po,Miroir en bois de bateau recycle. Cet item est disponible en 3 tailles,,1,recycledboat,mirrors,60,55,3,15,132,,,,IN,,no,,,,,,
10923450431,10923450431,,Meubles49.jpg,Table de nuit 6 tiroirs,WD 6 Drawer A4 Size C,Table de nuit 6 tiroirs. Fait de bois de bateau recycle. Cet item est disponible en 3 taille. 3-4-6 tiroirs disponibles. Importation de lèinde,,1,recycledboat,bedsidetables,28,14,11,25,240,,,,IN,,no,,,,,,
10923450473,10923450473,,Meubles116.jpg,Ensemble de 3 caisses de rangement,WD Vegetable tray,Ensemble de 3 caisses de rangement avec motifs. Faites de bois de bateau recyclés. Importation de l'Inde,,1,recycledboat,storagebox,8,24,16,8,112,,,,IN,,no,,,,,,
10923451154,10923451154,,Meubles60.jpg,Demi lune en vitrail vintage,Panel Half Round,"Demi lune en vitrail vintage. Pièce antique recyclée, importation de l'Inde",,1,unique,decoration,25,48,3,20,328,,,,IN,,no,,,,,,
1123450392,1123450392,,,,Panel 4 big Windows,,,,,,,,,,528,,,,IN,,no,,,,,,
10923451386,10923451386,,Meubles128.jpg,Hublot rectangulaire,Hublot,Hiblot en aluminium et vitre poly-trempée étanche récuperé de bateaux. Format rond aussi disponible,,1,unique,decoration,19,25,5,40,320,,,,IN,,no,,,,,,
10923450441,,,,,3 hook hanger,,,,,,,,,,40,,,,IN,,no,,,,,,
1123450412,,,,,Plasma with door,,,,,,51,16,19,,1280,,,,IN,,no,,,,,,
10923451127,10923451127,,Meubles68.jpg,Crane de vache,Buffalo plain,Crâne de vache,,1,vintage,decoration,10,19,29,2,460,,,,IN,,no,,,,,,
1123450392,1123450392,,,,,,,,,,,,,,1085,,,,IN,,no,,,,,,
1123450392,1123450392,,,,75 x 40 x3,,,,,,,,,,1664,,,,IN,,no,,,,,,
