barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
1128450339,IDANNA17,,1.jpg,Tête de Buddha,Buddha Head,Tête de Buddha fabriquée en pierre volcanique. Importation d'Indonésie,Head of Buddha made __of volcanic stone. From Indonesia.,1,temple,statue,16,7,9,16,100,,50,,390,no,IN,,price 100 (80),,,,,
10923451007,CAKRA2,,2.jpg,Statue de moine,Statue of monk,Statue de moine en cuivre. Importation du  Laos.,Copper monk statue. From Laos.,1,tibet,statue,25,13,9,8,75,,50,,,no,IN,,,,,,,
,KHEM M-1410,,3.jpg,Sac de transport canevas et cuir,,Grand sac style vintage fait en canvas et cuire. Provenance Inde.,,1,vintage,accessories,71,35,30,5,176,,50,,,,,,,,,,,
10923450430,3DACMC,,4.jpg,Table d'appoint en bois recyclé,Side table,Table d'appoint originale à 3 tiroirs fabriquée de bois de bateau recyclé. Importation de l'Inde.,Original side table with 3 drawers made __of recycled wood boat. From India.,0,recycledboat,bedsidetables,40,13,24,20,96,,30,,,no,IN,,price 96 - 532,-112340399,,,,
10923451065,10923451065,,5.jpg,Tabouret  industriel,Industrial stool,Tabouret en métal. Disponible en 3 tailles.,Adjustable Stool made __from recycled metal and recycled wood boat. Made in India.,1,industrialchic,stools,60,40,40,50,640,,50,,,no,IN,,,,,,,
10923451052,TABTLX HAUT,,6.jpg,Tabouret en métal,Metal stool,Tabouret en métal. Disponible en 3 tailles.,Metal stool . Available in 3 sizes .,1,industrialchic,stools,33,14,35,8,130,,50,,258,no,IN,77 hauteur,"18,11,11",96,"29,11,11",,,
10923450450,SCRAPCP40SET,,7.jpg,Caisse en bois recyclé,,Caisse fabriquée de bois de bateau recyclé. Disponible en 3 tailles. Importation de l'Inde.,,1,recycledboat,storagebox,40,30,28,6,132,,50,,400,no,IN,,,,,,,
10923450995,AMGGI6,,8.jpg,Tabouret  rondelles de bois de teck,Stool teck slice,Tabouret fabriqué à la main en rondelles de bois de teck. ,Stool handmade teak wood slices.,1,green,stools,32,12,12,4,165,,50,,505,no,IN,,,,,,,
10923450456,10923450456,,9.jpg,Étagère murale,Wall shelf,Étagère murale asymétrique fabriquée en bois de bateau recyclé. Disponible en 2 tailles. Importation de l'Inde.,Asymmetrical wall shelf made __of recycled wood boat. Available in 2 sizes . Made in India.,1,recycledboat,storage,60,60,10,15,126,,50,,,no,IN,,,,,,,
10923450221,M-2650,,10.jpg,Cadre en bois recyclé - 2650,,"Cadre fabriqué en bois de bateau recyclé, canevas, cuir et vitre. Disponible en 3 tailles.",,5,recycledboat,frames,28,22,2,1,88,,50,,,no,CM,,,,,,,
1223450002,M-2650M,,11.jpg,Cadre en bois recyclé -2650M,,Cadre fabriqué en bois de bateau recyclé et vitre. Importation de l'Inde. Disponible en 3 tailles.,,5,vintage,frames,17,16,2,2,20,,50,,,no,CM,,,,,,,
10923450464,SCRAPFS,,12.jpg,Cadre PFS,,Cadre fabriqué en bois de bateau recyclé et vitre. Importation de l'Inde. Disponible en 3 tailles.,,10,recycledboat,frames,20,20,2,1,40,,50,,,no,,,,,,,,
1223450030,ALEXANGGI-S,,13.jpg,Cubes en racine de teck 11 po,,Ensemble de 3 cubes fabriqués en bois de racine de teck. Peut servir comme tabouret ou table d'appoint. Disponible en 3 formats.,,2,roots,bedsidetables,11,11,11,15,150,,50,,,no,IN,,,,,,,
1223450029,ALEXANGGI-M,,13.jpg,Cubes en racine de teck 16 po,,Ensemble de 3 cubes fabriqués en bois de racine de teck. Peut servir comme tabouret ou table d'appoint. Disponible en 3 formats.,,2,roots,bedsidetables,16,16,16,20,240,,50,,,no,IN,,,,,,,
1223450028,ALEXANGGI-L,,13.jpg,Cubes en racine de teck 20 po,,Ensemble de 3 cubes fabriqués en bois de racine de teck. Peut servir comme tabouret ou table d'appoint. Disponible en 3 formats.,,2,roots,bedsidetables,20,20,20,25,350,,50,,,no,IN,,,,,,,
10923451016,10923451016,,14.jpg,Sculpture déesse Tara ,,Sculpture déesse Tara fabriquée en pierre volcanique. Importation d'Indonésie.,,3,temple,statue,18,12,8,12,150,,50,,,no,IN,"18 haut , 12 large, 8 profond",,,,,,
,,,15.jpg,Tabouret industriel ajustable,Industrial stool,Tabouret ajustable avec dos de style industriel. Fabriqué de bois de bateau recyclé et métal brut. Importation de l'Inde.,"Adjustable stool with back, industrial style . Made of recycled wood boat and raw metal. Made in India.",1,industrialchic,stools,44,31,39,20,150,,,,,,,,,,,,,
1223450052,BD,,16.jpg,Coussin thaï,,Coussin thaï carré fabriqué en coton biologique et textile. Format standard chaise.,,1,thaicussion,cussions,37,37,5,2,45,,,,,no,,,,,,,,
10923451028,LOTUS ALEX2,,19.jpg,Lampe indonésienne cylindrique,,Grande lampe indonésienne cylindrique fabriquée en feuilles de métal recyclé et textile.,,1,indo,floorlamps,48,21,22,6,235,,,,,,,,,,,,,
,INDO ANGG17,,20.jpg,Cube  rondelles de bois de teck,1223450030|1223450029|1223450028,Tabouret fabriqué à la main en rondelles de bois de teck. Peut servir comme tabouret ou table d'appoint. Disponible en 3 formats.,,1,roots,stools,30,30,30,15,150,,,,,no,,,"20x20,16x16,11x11",,,,,
10923450448,SCRAPBSS,,TABLE_DE_NUIT.jpg,Table de nuit,,Table de nuit fabriquée en bois de bateau recyclé. Importation de l'Inde.,,0,recycledboat,bedsidetables,60,38,36,25,240,,50,,,no,CM,,,,,,,
10923451002,LOTUS ALEX,,22.jpg,Lampe indonésienne rectangulaire,,Grande lampe indonésienne rectangulaire fabriquée en feuilles de métal recyclé et textile.,,0,indolamp,floorlamps,59,8,8,6,395,,50,,,no,CM,,70 % moins,,,,,
10923451064,10923451064,,23.jpg,Tabouret ajustable,,Tabouret ajustable fabriqué en bois de bateau recyclé et métal brut. Importation de l'Inde.,,1,industrialchic,stools,70,36,36,24,510,,50,,,no,CM,,,,,,,
