code,type_en
micro-fiber-with-flower-print,Micro Fiber with Flower print
micro-stapa-with-lace,Micro stapa with lace
cotton-spandex-with-lace-trim,Cotton Spandex with lace trim
90-polyester-10-spandex,90% Polyester – 10% Spandex
micro-stapa,Micro stapa
micro-with-lace,Micro with lace
cotton-spandex,Cotton Spandex
cotton-with-elastic-band,Cotton with elastic band
micro-fiber,Micro Fiber
panties-soft,Panties Soft
panties-silky,Panties Silky
high-cut,High Cut
over-size-with-broderie,Over Size with broderie
95-cotton-5-spandex,95% Cotton 5% Spandex
poly-spandex,Poly Spandex
90-nylon-10-spandex,90% Nylon – 10% Spandex
micro-fiber-with-lace-trim,Micro fiber with lace trim
microfibera -silky,Microfiber  Silky
all-lace,All Lace
extra-comfort-with-broderie,Extra Comfort with broderie
pontelle,Pontelle
extra-comfort,Extra comfort
broderie-design,Broderie design
95-cotton-5-spandex,95% Cotton – 5% Spandex
spandex,Spandex
